FDR,Accession
High,A0A0H3NDQ2
High,A0A0H3NHF2
High,A0A0H3NBT7
High,A0A0H3NE99
High,A0A0H3N9R9
High,A0A0H3N9V9
High,A0A0H3NK66
High,A0A0H3NI88
High,A0A0H3NE23
High,A0A0H3NB52
High,A0A0H3NE49
High,A0A0H3NUG9
High,A0A0H3NBP3
High,A0A0H3NJA2
High,A0A0H3NHL3
High,A0A0H3NIE8
High,A0A0H3NLQ8
High,A0A0H3NH16
High,A0A0H3NFY4
High,A0A0H3NHX0
High,A0A0H3NGS0
High,A0A0H3NXF6
High,A0A0H3ND87
High,A0A0H3NWN1
High,A0A0H3N8V7
High,A0A0H3NDI1
High,A0A0H3NN91
High,A0A0H3NJW0
High,A0A0H3NEN3
High,A0A0H3NH18
High,A0A0H3NRZ3
High,A0A0H3N968
High,A0A0H3NEZ1
High,A0A0H3NPL5
High,A0A0H3N884
High,A0A0H3NXW4
High,A0A0H3ND56
High,A0A0H3ND65
High,A0A0H3ND09
High,A0A0H3NF46
High,A0A0H3NCA6
High,A0A0H3NBE5
High,A0A0H3NKN8
High,A0A0H3NEE0
High,A0A0H3NLY3
High,A0A0H3NKE0
High,A0A0H3NAH3
High,A0A0H3NGP6
High,A0A0H3NBW6
High,A0A0H3NE08
High,A0A0H3N8Z8
High,A0A0H3NG44
High,A0A0H3NH43
High,A0A0H3NCD8
High,A0A0H3NP86
High,A0A0H3P010
High,A0A0H3N9B4
High,A0A0H3NEC8
High,A0A0H3NK45
High,A0A0H3NEM2
High,A0A0H3NIL5
High,A0A0H3NU81
High,A0A0H3NHV3
High,A0A0H3N8X2
High,A0A0H3NII6
High,A0A0H3NM23
High,A0A0H3N894
High,A0A0H3NYF3
High,A0A0H3NID8
High,A0A0H3NJ55
High,A0A0H3NIX2
High,A0A0H3NG60
High,A0A0H3NE79
High,A0A0H3NGS7
High,A0A0H3NQ36
High,A0A0H3NI80
High,A0A0H3NI68
High,A0A0H3NBX8
High,A0A0H3NE29
High,A0A0H3NFU5
High,A0A0H3NC19
High,A0A0H3NF40
High,A0A0H3NDY0
High,A0A0H3NH46
High,A0A0H3NJJ2
High,A0A0H3N9K4
High,A0A0H3NPP5
High,A0A0H3NKH1
High,A0A0H3NMP4
High,A0A0H3NXY4
High,A0A0H3NDI2
High,A0A0H3NFF1
High,A0A0H3NDB8
High,A0A0H3NHL9
High,A0A0H3NIA3
High,A0A0H3NLS8
High,A0A0H3N8L4
High,A0A0H3NEN8
High,A0A0H3NMS0
High,A0A0H3NBV2
High,A0A0H3NIQ6
High,A0A0H3N937
High,A0A0H3NEN1
High,A0A0H3NJP4
High,A0A0H3NN13
High,A0A0H3NCW5
High,A0A0H3NVU8
High,A0A0H3NM26
High,A0A0H3N8B6
High,A0A0H3NLP6
High,A0A0H3ND86
High,A0A0H3NIK7
High,A0A0H3NK19
High,A0A0H3NFW3
High,A0A0H3NIX5
High,A0A0H3NGU5
High,A0A0H3NNJ1
High,A0A0H3NAN8
High,A0A0H3NGY1
High,A0A0H3NNL2
High,A0A0H3NI34
High,A0A0H3NFZ4
High,A0A0H3N9F8
High,A0A0H3N9D6
High,A0A0H3NE57
High,A0A0H3NMA2
High,A0A0H3N9H9
High,A0A0H3NAQ1
High,A0A0H3NP42
High,E1WFA0
High,A0A0H3NRR9
High,A0A0H3NND7
High,A0A0H3NM92
High,A0A0H3NYS8
High,A0A0H3NKF9
High,A0A0H3NMN6
High,A0A0H3NDT8
High,A0A0H3NIT9
High,A0A0H3NBS6
High,A0A0H3NMY0
High,A0A0H3NH89
High,A0A0H3NLR3
High,A0A0H3NBZ4
High,A0A0H3NHI7
High,A0A0H3NFJ1
High,A0A0H3NKM9
High,A0A0H3NGD9
High,A0A0H3NWV8
High,E1WGG8
High,A0A0H3N7V0
High,A0A0H3NMK3
High,A0A0H3NGK0
High,A0A0H3NP35
High,A0A0H3NML3
High,A0A0H3NN75
High,A0A0H3NG02
High,A0A0H3NG56
High,A0A0H3NQY3
High,A0A0H3NBF5
High,A0A0H3NA74
High,A0A0H3NIW1
High,A0A0H3NDD7
High,A0A0H3NLU9
High,A0A0H3NJB8
High,A0A0H3NIE9
High,A0A0H3NKB7
High,A0A0H3N7Q4
High,A0A0H3NMI2
High,A0A0H3NJQ6
High,A0A0H3NM53
High,A0A0H3NAI1
High,A0A0H3NKE9
High,A0A0H3NPC7
High,A0A0H3NSU0
High,A0A0H3NI56
High,A0A0H3NFY5
High,A0A0H3NL87
High,A0A0H3NEN0
High,A0A0H3NH20
High,A0A0H3NN98
High,A0A0H3NH31
High,A0A0H3NCL7
High,A0A0H3NDA5
High,A0A0H3NC08
High,A0A0H3NQW9
High,A0A0H3NNT6
High,A0A0H3NVH0
High,A0A0H3NEW2
High,A0A0H3N8M9
High,A0A0H3NC78
High,A0A0H3NDW9
High,E1WAC0
High,A0A0H3NXF0
High,A0A0H3NDF6
High,A0A0H3NIS3
High,A0A0H3NEY2
High,A0A0H3N866
High,A0A0H3NPN9
High,A0A0H3ND89
High,A0A0H3NTL9
High,A0A0H3NWG0
High,A0A0H3NUN6
High,A0A0H3N8W7
High,A0A0H3NIA1
High,A0A0H3NEN6
High,E1WIS2
High,A0A0H3P0A4
High,A0A0H3NDN3
High,A0A0H3NJ08
High,A0A0H3NCE6
High,A0A0H3NCT3
High,A0A0H3NA56
High,A0A0H3NI99
High,A0A0H3N9P8
High,A0A0H3NAB1
High,A0A0H3NDN5
High,A0A0H3NE05
High,A0A0H3NAQ9
High,A0A0H3N9Z7
High,A0A0H3NHP1
High,A0A0H3NNY6
High,A0A0H3NIA5
High,A0A0H3NFA9
High,A0A0H3ND08
High,A0A0H3NB60
High,A0A0H3NK36
High,A0A0H3NHQ3
High,A0A0H3NSA8
High,A0A0H3NBJ7
High,A0A0H3NBC9
High,A0A0H3NHZ6
High,A0A0H3NLY5
High,A0A0H3NDA3
High,A0A0H3NH64
High,A0A0H3NLI8
High,A0A0H3NUD0
High,A0A0H3NMF7
High,A0A0H3NIG0
High,A0A0H3NIP0
High,A0A0H3NL53
High,A0A0H3NED3
High,A0A0H3NE12
High,A0A0H3NXI8
High,A0A0H3NMT2
High,A0A0H3NAH4
High,A0A0H3NEU5
High,A0A0H3NAX5
High,A0A0H3NIK4
High,A0A0H3NJK8
High,A0A0H3NT75
High,A0A0H3NCY7
High,A0A0H3NE16
High,A0A0H3NHT9
High,A0A0H3NAX0
High,A0A0H3NLZ8
High,A0A0H3NX80
High,A0A0H3NIB7
High,A0A0H3NAP8
High,A0A0H3N961
High,A0A0H3NLD8
High,A0A0H3NFF8
High,A0A0H3NHC6
High,A0A0H3N9J5
High,A0A0H3NDE7
High,A0A0H3NTQ2
High,A0A0H3NU38
High,A0A0H3NQC5
High,A0A0H3N7Q0
High,A0A0H3NGF4
High,A0A0H3NKW9
High,A0A0H3NIT2
High,A0A0H3N9R0
High,A0A0H3NRJ2
High,A0A0H3NJ47
High,A0A0H3NJ07
High,A0A0H3NDE3
High,A0A0H3NSV8
High,A0A0H3NEM8
High,A0A0H3NHB8
High,A0A0H3NQZ5
High,A0A0H3NUA7
High,A0A0H3N928
High,A0A0H3NCM8
High,A0A0H3P075
High,A0A0H3NX93
High,A0A0H3NBD2
High,A0A0H3N9T7
High,A0A0H3NHX6
High,A0A0H3NJ06
High,A0A0H3N8D3
High,A0A0H3NEY8
High,A0A0H3NGV5
High,A0A0H3NGI8
High,A0A0H3P1B8
High,A0A0H3NB04
High,A0A0H3NAD4
High,A0A0H3N7D5
High,A0A0H3NHB7
High,A0A0H3NJG5
High,A0A0H3NIB2
High,A0A0H3NH87
High,A0A0H3NIK6
High,A0A0H3NAW3
High,A0A0H3NDQ5
High,E1W874
High,A0A0H3N924
High,A0A0H3NP03
High,A0A0H3NGQ6
High,A0A0H3NHF6
High,A0A0H3NH75
High,A0A0H3NGR2
High,A0A0H3NJ21
High,A0A0H3NFG1
High,A0A0H3NM44
High,A0A0H3NIQ4
High,A0A0H3NPK0
High,A0A0H3NEG7
High,A0A0H3NG20
High,A0A0H3NC32
High,A0A0H3NM15
High,A0A0H3NGI3
High,A0A0H3NFX6
High,A0A0H3NGG1
High,A0A0H3NHY9
High,A0A0H3NV88
High,A0A0H3NI39
High,A0A0H3N9L9
High,A0A0H3NMQ9
High,A0A0H3NDX8
High,A0A0H3NHE1
High,A0A0H3NJY0
High,A0A0H3N7W0
High,A0A0H3NAM4
High,A0A0H3NMJ6
High,A0A0H3NIR1
High,A0A0H3NUE5
High,A0A0H3NIG3
High,A0A0H3N9C6
High,A0A0H3NGI6
High,A0A0H3N9D9
High,A0A0H3NHR0
High,A0A0H3NS54
High,A0A0H3NE53
High,A0A0H3N9E7
High,A0A0H3NB84
High,A0A0H3NSL9
High,A0A0H3NBU2
High,A0A0H3NU77
High,A0A0H3N9I6
High,A0A0H3NS38
High,A0A0H3N8I3
High,A0A0H3NBY9
High,A0A0H3N7I0
High,A0A0H3NYS4
High,A0A0H3NTF7
High,A0A0H3NEG0
High,A0A0H3NDU3
High,A0A0H3NJN9
High,A0A0H3NFR7
High,A0A0H3NE21
High,A0A0H3NFC0
High,A0A0H3NN19
High,A0A0H3NH54
High,A0A0H3NIZ5
High,A0A0H3NLM0
High,A0A0H3N9J0
High,A0A0H3N983
High,A0A0H3NC41
High,A0A0H3NLH4
High,A0A0H3NEM6
High,A0A0H3NC87
High,A0A0H3NHT1
High,A0A0H3NBE0
High,A0A0H3NE87
High,A0A0H3ND66
High,A0A0H3NKC2
High,A0A0H3ND22
High,E1WAA4
High,E1WAB2
High,A0A0H3NXT3
High,A0A0H3NMY9
High,A0A0H3N9F1
High,A0A0H3NHC0
High,A0A0H3NHG6
High,A0A0H3NDH2
High,A0A0H3NRH2
High,A0A0H3NIV8
High,A0A0H3NIY2
High,A0A0H3NGC3
High,A0A0H3N9C9
High,A0A0H3NTZ1
High,A0A0H3NDL3
High,E1WA38
High,A0A0H3NUZ2
High,A0A0H3N9V6
High,A0A0H3N925
High,A0A0H3NA71
High,A0A0H3NPW6
High,A0A0H3NCI0
High,A0A0H3NFX0
High,A0A0H3NAR7
High,A0A0H3NNZ6
High,A0A0H3NIC7
High,A0A0H3NKJ6
High,A0A0H3NDB3
High,A0A0H3NEC9
High,A0A0H3NGW1
High,A0A0H3N990
High,A0A0H3NIS1
High,A0A0H3NLU6
High,A0A0H3NN06
High,A0A0H3N7S1
High,A0A0H3NLW4
High,A0A0H3NFF4
High,A0A0H3NHT8
High,A0A0H3NM65
High,A0A0H3NBY3
High,A0A0H3NFG5
High,A0A0H3NEL5
High,A0A0H3NP16
High,A0A0H3NFS0
High,A0A0H3NB20
High,A0A0H3NR73
High,A0A0H3NI69
High,A0A0H3NBZ1
High,A0A0H3NJ83
High,A0A0H3NYT6
High,A0A0H3N7S5
High,A0A0H3NGF9
High,A0A0H3NLP3
High,A0A0H3NHV4
High,A0A0H3NDF0
High,A0A0H3NFU2
High,A0A0H3NUL5
High,A0A0H3N7Y6
High,A0A0H3NLU3
High,A0A0H3NH59
High,A0A0H3NG93
High,A0A0H3NMC1
High,A0A0H3NKT0
High,A0A0H3NDI5
High,A0A0H3NIC9
High,A0A0H3NFZ7
High,A0A0H3NBB9
High,A0A0H3NIL4
High,A0A0H3N9T1
High,A0A0H3NMC4
High,A0A0H3NIL6
High,A0A0H3NBH9
High,A0A0H3N9Y7
High,A0A0H3NHJ2
High,A0A0H3N830
High,A0A0H3NDF9
High,A0A0H3NL17
High,A0A0H3NLN5
High,A0A0H3NG62
High,A0A0H3NGP1
High,A0A0H3NE93
High,A0A0H3N7V2
High,A0A0H3NHG4
High,A0A0H3NAW7
High,A0A0H3NG22
High,A0A0H3NR47
High,A0A0H3NRU4
High,A0A0H3NVC6
High,A0A0H3NH66
High,A0A0H3NEV4
High,A0A0H3NB53
High,A0A0H3NJX6
High,A0A0H3NU87
High,A0A0H3NQ50
High,A0A0H3N9K7
High,A0A0H3NG75
High,A0A0H3NX75
High,A0A0H3NFZ6
High,A0A0H3NJJ0
High,A0A0H3NNM6
High,A0A0H3NK11
High,A0A0H3NDP6
High,A0A0H3NE89
High,A0A0H3NAR5
High,A0A0H3NGB7
High,A0A0H3NHH1
High,A0A0H3NIF8
High,A0A0H3NB92
High,A0A0H3NSX3
High,A0A0H3NHI9
High,A0A0H3NHU6
High,A0A0H3NCQ2
High,A0A0H3NHC8
High,A0A0H3NYV9
High,A0A0H3NGE4
High,A0A0H3NMI3
High,A0A0H3NJA9
High,A0A0H3NNI3
High,A0A0H3ND75
High,A0A0H3NCS4
High,A0A0H3N946
High,A0A0H3NIC0
High,A0A0H3NCF0
High,A0A0H3NKY9
High,A0A0H3NI81
High,A0A0H3NUS7
High,A0A0H3NHZ8
High,A0A0H3NHW2
High,A0A0H3NCR0
High,A0A0H3NAK0
High,A0A0H3NC52
High,A0A0H3NBN6
High,A0A0H3NYT2
High,A0A0H3N9Z3
High,A0A0H3NKG9
High,A0A0H3NP23
High,A0A0H3NJ68
High,A0A0H3NF16
High,A0A0H3NS87
High,A0A0H3NKR2
High,A0A0H3NLQ9
High,A0A0H3NLT4
High,A0A0H3NWG9
High,A0A0H3NV19
High,A0A0H3NFT5
High,A0A0H3N9S1
High,A0A0H3NTK3
High,A0A0H3NHP7
High,A0A0H3N9Z1
High,A0A0H3NEP7
High,E1WGG9
High,A0A0H3NWG4
High,A0A0H3ND19
High,A0A0H3NA07
High,A0A0H3NW61
High,A0A0H3NIT6
High,A0A0H3NRB0
High,A0A0H3NL49
High,A0A0H3NEH3
High,A0A0H3NIP3
High,A0A0H3NV54
High,A0A0H3N9X5
High,A0A0H3NCD4
High,A0A0H3NIX3
High,A0A0H3NPJ0
High,A0A0H3NBA5
High,A0A0H3NF25
High,A0A0H3NGL6
High,A0A0H3NA63
High,A0A0H3P1B2
High,A0A0H3N8F8
High,A0A0H3NHK2
High,A0A0H3NG81
High,A0A0H3N8Q7
High,A0A0H3NKK1
High,A0A0H3NV41
High,A0A0H3NEU6
High,A0A0H3NEE2
High,A0A0H3NMD7
High,A0A0H3NGK1
High,A0A0H3NHN7
High,A0A0H3NA13
High,A0A0H3NV77
High,A0A0H3NND3
High,A0A0H3NL42
High,A0A0H3ND30
High,A0A0H3NGW2
High,A0A0H3NH94
High,A0A0H3NIG1
High,A0A0H3NHG5
High,A0A0H3N967
High,A0A0H3NC15
High,A0A0H3NB31
High,A0A0H3NMA6
High,A0A0H3NAP1
High,A0A0H3NID3
High,A0A0H3NL20
High,A0A0H3NG52
High,A0A0H3NGF5
High,A0A0H3NN86
High,A0A0H3NG78
High,A0A0H3NJH5
High,A0A0H3NDP2
High,A0A0H3NBK4
High,A0A0H3NHG2
High,A0A0H3NED0
High,A0A0H3NMF0
High,A0A0H3NG91
High,A0A0H3NB33
High,A0A0H3NIZ0
High,A0A0H3NIZ9
High,A0A0H3NGS5
High,A0A0H3NKD0
High,A0A0H3NGC2
High,A0A0H3NAH7
High,A0A0H3NIW6
High,A0A0H3NHV9
High,A0A0H3NN63
High,A0A0H3NDM8
High,A0A0H3NAN9
High,A0A0H3NB70
High,A0A0H3NCB9
High,A0A0H3NHF3
High,A0A0H3N7N4
High,A0A0H3NJI3
High,E1WAQ4
High,A0A0H3NV83
High,A0A0H3NE22
High,A0A0H3NK75
High,A0A0H3N9W0
High,A0A0H3NAJ4
High,A0A0H3NC79
High,A0A0H3NKH9
High,A0A0H3NW99
High,A0A0H3NDN2
High,A0A0H3NJ38
High,A0A0H3NXL4
High,A0A0H3NFR9
High,A0A0H3NHE6
High,A0A0H3NNJ2
High,A0A0H3NHN3
High,A0A0H3NC13
High,A0A0H3NM33
High,A0A0H3NFC9
High,A0A0H3NAQ3
High,A0A0H3NJH1
High,A0A0H3NVY3
High,A0A0H3NE30
High,A0A0H3NAN5
High,E1WAB5
High,A0A0H3NU95
High,A0A0H3NHW0
High,A0A0H3NF06
High,A0A0H3NI37
High,A0A0H3NW85
High,A0A0H3NML0
High,A0A0H3NP62
High,A0A0H3NDK1
High,A0A0H3NIK9
High,A0A0H3NBV8
High,A0A0H3NFL8
High,A0A0H3NE43
High,A0A0H3N9V0
High,A0A0H3N9D5
High,A0A0H3NEV1
High,A0A0H3NI93
High,A0A0H3N9E1
High,A0A0H3NJ31
High,A0A0H3N926
High,A0A0H3NDL6
High,A0A0H3NIQ8
High,A0A0H3NCM3
High,A0A0H3NK26
High,A0A0H3NW54
High,A0A0H3NNB2
High,A0A0H3NJH6
High,A0A0H3NQ15
High,A0A0H3NKR1
High,A0A0H3N8U0
High,A0A0H3NKU6
High,A0A0H3NFJ4
High,A0A0H3NBQ1
High,A0A0H3NAN4
High,A0A0H3NRN3
High,A0A0H3NTS0
High,A0A0H3N9A0
High,A0A0H3NIL0
High,A0A0H3N8V0
High,A0A0H3NCJ8
High,A0A0H3N932
High,A0A0H3NRG8
High,A0A0H3NGW9
High,A0A0H3NF77
High,A0A0H3NLF4
High,A0A0H3NSC0
High,A0A0H3NRY1
High,A0A0H3NK25
High,A0A0H3NFD8
High,E1WAE4
High,A0A0H3N8T4
High,A0A0H3NU44
High,A0A0H3NJI8
High,A0A0H3NKP1
High,A0A0H3NEZ8
High,A0A0H3NQ41
High,A0A0H3NJ61
High,A0A0H3NHI3
High,A0A0H3NYR9
High,A0A0H3NTI1
High,A0A0H3NMX9
High,A0A0H3NDB2
High,A0A0H3ND10
High,A0A0H3NGQ8
High,A0A0H3NJI0
High,A0A0H3NG01
High,A0A0H3NWC4
High,A0A0H3NPQ5
High,A0A0H3NB69
High,A0A0H3NX92
High,A0A0H3NC70
High,A0A0H3NJP3
High,A0A0H3NDU2
High,A0A0H3NID6
High,A0A0H3NG55
High,A0A0H3NJD9
High,A0A0H3NAW2
High,A0A0H3NIG8
High,A0A0H3ND64
High,A0A0H3NH24
High,A0A0H3NM58
High,A0A0H3N929
High,A0A0H3NFD4
High,A0A0H3NHB2
High,A0A0H3NLB2
High,A0A0H3NFT9
High,A0A0H3NKU4
High,A0A0H3NIN1
High,A0A0H3NK16
High,A0A0H3NFM9
High,A0A0H3NEF9
High,A0A0H3NYU3
High,A0A0H3NV72
High,A0A0H3NTD9
High,A0A0H3NFN5
High,A0A0H3NGQ1
High,A0A0H3NNK3
High,A0A0H3NIE6
High,A0A0H3NCJ0
High,A0A0H3NGE0
High,A0A0H3NMX5
High,A0A0H3NJB2
High,A0A0H3NGR9
High,A0A0H3NK57
High,A0A0H3NTC4
High,A0A0H3NZZ2
High,A0A0H3NI18
High,A0A0H3N7D0
High,A0A0H3N8U8
High,A0A0H3N988
High,A0A0H3NSG9
High,A0A0H3NKV1
High,A0A0H3NJ63
High,A0A0H3NFM6
