FDR,Accession
High,A0A0H3NNL2
High,E1WGF0
High,A0A0H3NJ02
High,A0A0H3NK11
High,A0A0H3NBY3
High,A0A0H3NBQ5
High,A0A0H3NKP0
High,A0A0H3NDE2
High,A0A0H3NBS8
High,A0A0H3NUB6
High,A0A0H3NB52
High,A0A0H3NHL9
High,A0A0H3NCW1
High,A0A0H3NBY9
High,A0A0H3NGP6
High,A0A0H3NBC6
High,A0A0H3NYF3
High,A0A0H3N8Z8
High,A0A0H3N8B3
High,A0A0H3N7I0
High,A0A0H3NH79
High,A0A0H3NID8
High,A0A0H3NPA2
High,A0A0H3N8W6
High,A0A0H3NHP0
High,A0A0H3P177
High,A0A0H3NDN0
High,A0A0H3NKF9
High,A0A0H3NEE6
High,A0A0H3N9M5
High,A0A0H3NCF5
High,A0A0H3NVC6
High,A0A0H3NME6
High,A0A0H3NJR8
High,A0A0H3NB04
High,A0A0H3NE87
High,A0A0H3NKR1
High,A0A0H3NGI3
High,A0A0H3NHZ9
High,A0A0H3NF14
High,A0A0H3NIF8
High,A0A0H3N9C6
High,A0A0H3NGS4
High,A0A0H3P0A4
High,A0A0H3NAS0
High,A0A0H3NK19
High,A0A0H3NI84
High,A0A0H3NLS8
High,A0A0H3NH51
High,A0A0H3NCF4
High,A0A0H3NPU7
High,A0A0H3NG22
High,A0A0H3NHP1
High,A0A0H3NEA5
High,A0A0H3N894
High,A0A0H3NWY8
High,A0A0H3NBT7
High,A0A0H3NHI7
High,A0A0H3NE85
High,A0A0H3NE99
High,A0A0H3NKR2
High,A0A0H3N891
High,A0A0H3N7V0
High,A0A0H3NIK4
High,A0A0H3NJN6
High,A0A0H3NSA8
High,A0A0H3NGW8
High,A0A0H3NJP4
High,A0A0H3NHC6
High,A0A0H3NH98
High,A0A0H3NJJ6
High,A0A0H3N9R9
High,A0A0H3NM23
High,A0A0H3N9C9
High,A0A0H3NEC5
High,A0A0H3NBD6
High,A0A0H3NH38
High,A0A0H3NH80
High,A0A0H3N9T3
High,A0A0H3NGS7
High,A0A0H3NRJ2
High,A0A0H3NDS8
High,A0A0H3NKA6
High,A0A0H3N8D3
High,A0A0H3NP22
High,A0A0H3NF25
High,A0A0H3NEM8
High,A0A0H3NIE2
High,A0A0H3NI80
High,A0A0H3NP98
High,A0A0H3NAW7
High,A0A0H3NS35
High,A0A0H3NKD9
High,A0A0H3NFT0
High,A0A0H3NJA8
High,A0A0H3NIH0
High,A0A0H3NDV2
High,A0A0H3NHQ3
High,A0A0H3NCU4
High,A0A0H3NNT6
High,A0A0H3NC50
High,A0A0H3NDG3
High,A0A0H3NUA7
High,A0A0H3NGR7
High,A0A0H3NGI6
High,A0A0H3NCR8
High,A0A0H3NPT4
High,A0A0H3NAN8
High,A0A0H3NGW9
High,A0A0H3NC79
High,A0A0H3NMY0
High,A0A0H3NFH5
High,A0A0H3N852
High,A0A0H3ND87
High,A0A0H3NBW6
High,A0A0H3NHQ9
High,A0A0H3NE09
High,A0A0H3NBR4
High,A0A0H3NEX8
High,A0A0H3NM79
High,A0A0H3NE23
High,A0A0H3NHF0
High,A0A0H3NFZ2
High,A0A0H3ND19
High,A0A0H3N961
High,A0A0H3NIA1
High,A0A0H3NAQ9
High,A0A0H3NL96
High,A0A0H3NNT3
High,A0A0H3NIP0
High,A0A0H3NHA5
High,A0A0H3NAA4
High,A0A0H3NI03
High,A0A0H3NMF3
High,A0A0H3NBB0
High,A0A0H3NHY9
High,A0A0H3NEM2
High,A0A0H3NHB9
High,A0A0H3NNY9
High,A0A0H3NU57
High,A0A0H3NC57
High,A0A0H3NLH5
High,A0A0H3NLX1
High,A0A0H3NGG0
High,A0A0H3NKZ8
High,A0A0H3NK81
High,A0A0H3NEQ4
High,A0A0H3NPR4
High,A0A0H3NJW7
High,A0A0H3NIK8
High,A0A0H3NIS3
High,A0A0H3NQ36
High,A0A0H3NCF0
High,A0A0H3NKX3
High,A0A0H3NN75
High,A0A0H3N9E2
High,A0A0H3NPK1
High,A0A0H3NDB2
High,A0A0H3NJ49
High,A0A0H3NJZ4
High,A0A0H3NBZ4
High,A0A0H3NFT9
High,A0A0H3NKW9
High,A0A0H3NKN8
High,A0A0H3NMN6
High,A0A0H3NSR3
High,A0A0H3NDK7
High,A0A0H3NSV2
High,A0A0H3NN91
High,A0A0H3NHR4
High,A0A0H3NYS4
High,A0A0H3NDU2
High,A0A0H3NIA5
High,A0A0H3NDF2
High,A0A0H3N9T7
High,A0A0H3N9M1
High,A0A0H3N9F1
High,A0A0H3NMA2
High,A0A0H3NRK4
High,A0A0H3NI68
High,A0A0H3NHH1
High,A0A0H3NIS8
High,A0A0H3NLC0
High,A0A0H3NRJ9
High,A0A0H3N7Z2
High,A0A0H3NRZ3
High,A0A0H3ND98
High,A0A0H3N937
High,A0A0H3NII6
High,A0A0H3NHT5
High,A0A0H3NBE5
High,A0A0H3NPT7
High,A0A0H3N8V7
High,A0A0H3N7N9
High,A0A0H3NM85
High,A0A0H3NH20
High,A0A0H3NAN4
High,A0A0H3NUE5
High,A0A0H3NIL6
High,A0A0H3NGS2
High,A0A0H3NM35
High,A0A0H3N9P8
High,A0A0H3NHM6
High,A0A0H3NAI9
High,A0A0H3NP42
High,A0A0H3NSS7
High,A0A0H3NGB2
High,A0A0H3NHD2
High,A0A0H3NJ96
High,A0A0H3NMS0
High,A0A0H3NC94
High,A0A0H3NH08
High,A0A0H3NA20
High,A0A0H3NAL3
High,A0A0H3N869
High,A0A0H3NIX0
High,A0A0H3NGN2
High,A0A0H3NA74
High,A0A0H3NFA1
High,A0A0H3NIK2
High,A0A0H3NBX8
High,A0A0H3NDR5
High,A0A0H3NLY3
High,A0A0H3NIH1
High,A0A0H3NLU6
High,A0A0H3NL38
High,A0A0H3NAT8
High,A0A0H3NMG1
High,A0A0H3NK71
High,A0A0H3NDR9
High,A0A0H3NH31
High,A0A0H3NLC3
High,A0A0H3NMZ6
High,A0A0H3NR26
High,A0A0H3NH34
High,A0A0H3NE53
High,A0A0H3NE79
High,A0A0H3NM87
High,A0A0H3NHB7
High,A0A0H3NKP5
High,A0A0H3NE43
High,A0A0H3NIT2
High,A0A0H3N9S6
High,A0A0H3NAY0
High,A0A0H3NG91
High,A0A0H3NJP0
High,A0A0H3NV38
High,A0A0H3NG09
High,A0A0H3NDA3
High,A0A0H3N925
High,A0A0H3NNZ6
High,A0A0H3NNY8
High,A0A0H3NMA3
High,A0A0H3NIY9
High,A0A0H3NS54
High,A0A0H3NBW1
High,A0A0H3NRH2
High,A0A0H3NJN0
High,A0A0H3NHW2
High,A0A0H3NK26
High,A0A0H3NDQ5
High,A0A0H3NH94
High,A0A0H3NL58
High,A0A0H3NB00
High,A0A0H3NFW7
High,A0A0H3NDZ5
High,A0A0H3NEM6
High,A0A0H3NGP7
High,A0A0H3NHL3
High,A0A0H3NDY0
High,A0A0H3NND7
High,A0A0H3NUL5
High,A0A0H3NWG0
High,A0A0H3NK87
High,A0A0H3NIE8
High,A0A0H3NK50
High,E1WGG8
High,A0A0H3NEY3
High,A0A0H3NE04
High,A0A0H3NIE9
High,A0A0H3NGU5
High,A0A0H3N9K4
High,A0A0H3NL53
High,A0A0H3NK15
High,A0A0H3NPN9
High,A0A0H3NAK6
High,A0A0H3N8Z2
High,A0A0H3NIV6
High,A0A0H3NGR9
High,A0A0H3NCG7
High,A0A0H3NVG2
High,A0A0H3NDL3
High,A0A0H3NHD1
High,A0A0H3NE08
High,A0A0H3NFA5
High,A0A0H3NG20
High,A0A0H3NPW4
High,A0A0H3NGC5
High,A0A0H3NIE3
High,A0A0H3NLC1
High,A0A0H3NW54
High,A0A0H3NVS5
High,A0A0H3N9S2
High,A0A0H3ND48
High,A0A0H3N7V6
High,A0A0H3NPU3
High,A0A0H3NGT8
High,A0A0H3NHJ8
High,A0A0H3N7T4
High,A0A0H3NIK6
High,A0A0H3NJA9
High,A0A0H3NEE0
High,A0A0H3NBV8
High,A0A0H3NFF1
High,A0A0H3NN86
High,A0A0H3NPL5
High,A0A0H3NGY1
High,A0A0H3N9Z7
High,A0A0H3N8A6
High,A0A0H3NGY0
High,A0A0H3NKU4
High,A0A0H3N8B1
High,A0A0H3NBE1
High,A0A0H3NGF4
High,A0A0H3NMD7
High,A0A0H3NHE5
High,A0A0H3NS38
High,A0A0H3NVY3
High,A0A0H3NEE2
High,A0A0H3NAW2
High,A0A0H3NVE4
High,A0A0H3NM92
High,E1WAU5
High,A0A0H3NC52
High,A0A0H3NDW9
High,A0A0H3NC41
High,A0A0H3NBF5
High,A0A0H3NCR9
High,A0A0H3NHN7
High,A0A0H3NV32
High,A0A0H3NSC0
High,A0A0H3NNV1
High,A0A0H3NHS8
High,A0A0H3NN60
High,A0A0H3NL17
High,A0A0H3NGD3
High,A0A0H3NFX6
High,A0A0H3NAD6
High,A0A0H3NPH5
High,A0A0H3NPX0
High,A0A0H3NBT6
High,A0A0H3NDV8
High,A0A0H3NU03
High,A0A0H3NGY2
High,A0A0H3NGZ5
High,A0A0H3NJ13
High,A0A0H3NJH7
High,A0A0H3NQP3
High,A0A0H3NCB2
High,A0A0H3NDN4
High,A0A0H3NEZ1
High,A0A0H3NJI8
High,A0A0H3NHY1
High,A0A0H3NJP8
High,A0A0H3N9W0
High,A0A0H3NIK9
High,A0A0H3NLV3
High,A0A0H3NCZ9
High,A0A0H3NI93
High,A0A0H3NG37
High,A0A0H3NKV9
High,A0A0H3NII4
High,A0A0H3NKZ4
High,A0A0H3NAP1
High,A0A0H3NDV9
High,A0A0H3NNB2
High,A0A0H3NHU2
High,A0A0H3NE83
High,A0A0H3NI81
High,A0A0H3NLD8
High,A0A0H3NB20
High,A0A0H3NFR9
High,A0A0H3NLY5
High,A0A0H3NPQ5
High,A0A0H3NGG5
High,A0A0H3N983
High,A0A0H3N830
High,A0A0H3NKB1
High,A0A0H3NTP1
High,A0A0H3NTA4
High,A0A0H3NL19
High,A0A0H3NGQ8
High,A0A0H3NKC2
High,A0A0H3NC61
High,A0A0H3N9K7
High,A0A0H3NDZ2
High,A0A0H3NC78
High,A0A0H3N7X7
High,A0A0H3NJ61
High,A0A0H3NAF5
High,A0A0H3NB69
High,A0A0H3NGR5
High,A0A0H3NAH4
High,A0A0H3NH89
High,A0A0H3NDA5
High,A0A0H3NHB2
High,A0A0H3NG71
High,A0A0H3NNN9
High,A0A0H3NFD9
High,A0A0H3NNJ2
High,A0A0H3ND30
High,A0A0H3NEY2
High,A0A0H3N9G9
High,A0A0H3NMX5
High,A0A0H3NMP4
High,A0A0H3N8T8
High,A0A0H3NDX8
High,A0A0H3NGD9
High,A0A0H3NH87
High,A0A0H3NIQ6
High,A0A0H3NC08
High,A0A0H3NW96
High,A0A0H3NUZ2
High,A0A0H3NA43
High,A0A0H3NXL4
High,A0A0H3NUC4
High,A0A0H3ND65
High,A0A0H3N972
High,A0A0H3NEV4
High,A0A0H3NEZ5
High,A0A0H3NHK3
High,A0A0H3N8R3
High,A0A0H3N9R0
High,A0A0H3NI71
High,A0A0H3NXW4
High,A0A0H3NMA6
High,A0A0H3NDF6
High,A0A0H3NGC3
High,A0A0H3NH18
High,A0A0H3NMK2
High,A0A0H3NAQ1
High,A0A0H3NHQ1
High,A0A0H3N9N6
High,A0A0H3NK36
High,A0A0H3NNJ9
High,A0A0H3NA64
High,A0A0H3NB18
High,A0A0H3NEN3
High,A0A0H3NSS0
High,A0A0H3NH74
High,A0A0H3NEA4
High,A0A0H3NIW5
High,A0A0H3P1B8
High,A0A0H3NFL8
High,A0A0H3NGL9
High,A0A0H3NG78
High,A0A0H3NBK4
High,A0A0H3NAC0
High,A0A0H3NB41
High,E1WFA0
High,A0A0H3NLZ8
High,A0A0H3NHZ0
High,A0A0H3NIV5
High,A0A0H3NB15
High,A0A0H3NHD3
High,A0A0H3NMR5
High,A0A0H3NJJ0
High,A0A0H3ND92
High,A0A0H3NHN3
High,A0A0H3NR39
High,A0A0H3NFY4
High,A0A0H3NYL3
High,A0A0H3NP16
High,A0A0H3P188
High,A0A0H3NQZ5
High,A0A0H3NK57
High,A0A0H3NJW0
High,A0A0H3NMU5
High,A0A0H3NIM9
High,A0A0H3NHM7
High,A0A0H3NFE6
High,A0A0H3NJG4
High,A0A0H3N8N8
High,A0A0H3NP55
High,A0A0H3NL68
High,A0A0H3NGR0
High,A0A0H3NV46
High,A0A0H3P081
High,A0A0H3NST4
High,A0A0H3NNK8
High,A0A0H3NT89
High,A0A0H3NQ47
High,A0A0H3NM98
High,A0A0H3NF99
High,A0A0H3NGE4
High,A0A0H3NJ98
High,A0A0H3N9L5
High,A0A0H3NSD0
High,A0A0H3P010
High,A0A0H3NTU2
High,A0A0H3NCU0
High,A0A0H3NIZ9
High,A0A0H3NBJ3
High,A0A0H3NDI2
High,A0A0H3NN98
High,A0A0H3NCT4
High,A0A0H3NH16
High,A0A0H3NKK4
High,A0A0H3NEA9
High,A0A0H3NMX9
High,A0A0H3NFA9
High,A0A0H3NIZ5
High,A0A0H3NEC9
High,A0A0H3NM48
High,A0A0H3NBT4
High,A0A0H3NCA7
High,A0A0H3NBV6
High,A0A0H3NI90
High,A0A0H3NJ43
High,A0A0H3NM68
High,A0A0H3ND11
High,A0A0H3NDH0
High,A0A0H3NEN6
High,A0A0H3NHZ8
High,A0A0H3NHN9
High,A0A0H3NAK0
High,A0A0H3NJA2
High,A0A0H3NFG1
High,A0A0H3N9E1
High,A0A0H3N8Y2
High,A0A0H3NHG6
High,A0A0H3NHS7
High,A0A0H3NSD6
High,A0A0H3N8M9
High,A0A0H3NBC9
High,A0A0H3NM81
High,A0A0H3NE93
High,A0A0H3NIS1
High,A0A0H3NGF5
High,A0A0H3NAP8
High,A0A0H3NG48
High,A0A0H3NHZ5
High,A0A0H3NFF4
High,A0A0H3NH66
High,A0A0H3NM59
High,A0A0H3NHD4
High,A0A0H3NIU8
High,A0A0H3ND72
High,A0A0H3NJN5
High,A0A0H3NEI6
High,A0A0H3N8S6
High,A0A0H3NIR6
High,A0A0H3NB53
High,A0A0H3NC58
High,A0A0H3NIG0
High,A0A0H3NJB9
High,A0A0H3NPK0
High,A0A0H3NCD8
High,A0A0H3NA07
High,A0A0H3NMT3
High,A0A0H3ND56
High,A0A0H3NAM2
High,A0A0H3NDE7
High,A0A0H3NA71
High,A0A0H3NRA3
High,A0A0H3NC04
High,A0A0H3NAZ9
Medium,A0A0H3NDA8
Medium,A0A0H3NK05
Medium,A0A0H3NNN3
Medium,A0A0H3NEM0
Medium,A0A0H3NJQ5
Medium,A0A0H3NK66
Medium,A0A0H3NKE9
Medium,A0A0H3NM24
Medium,A0A0H3NIA0
Medium,A0A0H3NFZ6
Medium,A0A0H3NCC6
Medium,A0A0H3NU38
Medium,A0A0H3NNU6
Medium,A0A0H3NH82
Medium,A0A0H3NB60
Medium,A0A0H3NHR0
Medium,A0A0H3NC68
Medium,A0A0H3NHD8
Medium,A0A0H3NBV2
Medium,A0A0H3NDF4
Medium,A0A0H3NK28
Medium,A0A0H3NF89
Medium,A0A0H3NFJ1
Medium,A0A0H3NV13
Medium,A0A0H3NGF2
Medium,A0A0H3NTM9
Medium,A0A0H3NDH6
Medium,A0A0H3NCI5
Medium,A0A0H3NGW1
Medium,A0A0H3NHG4
Medium,A0A0H3NAX0
Medium,A0A0H3NKX9
Medium,A0A0H3NG19
Medium,A0A0H3NTF2
Medium,A0A0H3N839
Medium,A0A0H3NIM4
Medium,A0A0H3N9V6
Medium,A0A0H3N866
Medium,A0A0H3NK91
Medium,A0A0H3NS32
Medium,A0A0H3NBP1
Medium,A0A0H3P192
Medium,A0A0H3NAV6
Medium,A0A0H3N902
Medium,A0A0H3NVR8
Medium,A0A0H3N7Q0
Medium,A0A0H3N8H3
Medium,A0A0H3NAV1
Medium,E1WAA4
Medium,A0A0H3NIB2
Medium,A0A0H3NH93
Medium,A0A0H3NB32
Medium,A0A0H3NSL9
Medium,A0A0H3NEN8
Medium,A0A0H3NDE3
Medium,A0A0H3NKB7
Medium,A0A0H3N8V0
Medium,A0A0H3NLR3
Medium,A0A0H3NC66
Medium,A0A0H3NM11
Medium,A0A0H3NEB1
Medium,A0A0H3NE76
Medium,A0A0H3NLR7
Medium,A0A0H3NG39
Medium,A0A0H3NMK3
Medium,A0A0H3NH99
Medium,A0A0H3NAK5
Medium,A0A0H3NGW5
Medium,A0A0H3NER9
Medium,A0A0H3NJE9
Medium,A0A0H3N7K2
Medium,A0A0H3NA46
Medium,A0A0H3NGF7
Medium,A0A0H3NJR0
Medium,A0A0H3NPS5
Medium,A0A0H3N850
Medium,A0A0H3N9S4
Medium,A0A0H3NIA9
Medium,A0A0H3NI40
Medium,A0A0H3NJ87
Medium,E1W874
Medium,A0A0H3NIM0
Medium,A0A0H3NIG8
Medium,A0A0H3NFC0
Medium,A0A0H3NVT1
Medium,A0A0H3NGK4
Medium,A0A0H3NW85
Medium,A0A0H3NJC8
Medium,A0A0H3N968
Medium,A0A0H3NDW6
Medium,A0A0H3NDP6
Medium,A0A0H3NX69
Medium,A0A0H3NE67
Medium,A0A0H3NHX6
Medium,A0A0H3NS22
Medium,A0A0H3NCA6
Medium,A0A0H3NH78
Medium,A0A0H3NB33
Medium,A0A0H3NJE0
Medium,A0A0H3NU95
Medium,A0A0H3NBA5
Medium,A0A0H3NAZ3
Medium,A0A0H3NDN5
Medium,A0A0H3N8B6
Medium,A0A0H3NC70
Medium,A0A0H3N804
Medium,A0A0H3N8I3
Medium,A0A0H3NI75
Medium,A0A0H3NTR4
Medium,E1WAU4
Medium,A0A0H3NJK9
Medium,A0A0H3N932
Medium,A0A0H3NJ55
Medium,A0A0H3NI45
Medium,A0A0H3NI46
Medium,A0A0H3NHY5
Medium,A0A0H3NRN3
Medium,A0A0H3NHI8
Medium,A0A0H3NKY1
Medium,A0A0H3NCB1
Medium,A0A0H3NVK9
Medium,A0A0H3NUJ9
Medium,A0A0H3NU87
Medium,A0A0H3N8T4
Medium,A0A0H3N9C5
Medium,A0A0H3NJ68
Medium,A0A0H3NBB9
Medium,A0A0H3NFT8
Medium,A0A0H3NNI7
Medium,A0A0H3NB24
Medium,A0A0H3NYT2
Medium,A0A0H3NJB1
Medium,A0A0H3NDI6
Medium,A0A0H3NIG2
Medium,A0A0H3NUS7
Medium,A0A0H3NE16
Medium,A0A0H3NBE0
Medium,A0A0H3NJI7
Medium,A0A0H3NL27
Medium,A0A0H3NNC6
Medium,A0A0H3N990
Medium,A0A0H3NKP6
Medium,A0A0H3NM46
