"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"sey00680","sey00680","Methane metabolism","21/547","31/1771",2.2352976310329e-05,0.00016866336670521,0.000119786284533821,"SL1344_0749/SL1344_0914/SL1344_1261/SL1344_1283/SL1344_1557/SL1344_2118/SL1344_2171/SL1344_2306/SL1344_2307/SL1344_2517/SL1344_2931/SL1344_3038/SL1344_3044/SL1344_3331/SL1344_3670/SL1344_3984/SL1344_4011/SL1344_4034/SL1344_4069/SL1344_4211/SL1344_4348",21
"sey01212","sey01212","Fatty acid metabolism","15/547","20/1771",5.68940423364904e-05,0.000393517126160725,0.000279479506214339,"SL1344_0228/SL1344_0233/SL1344_0305/SL1344_1007/SL1344_1130/SL1344_1131/SL1344_1132/SL1344_1134/SL1344_1631/SL1344_2335/SL1344_2347/SL1344_2357/SL1344_3353/SL1344_3935/SL1344_3936",15
"sey00260","sey00260","Glycine, serine and threonine metabolism","23/547","37/1771",7.14808587454782e-05,0.000456377790451899,0.000324123731963302,"SL1344_0002/SL1344_0004/SL1344_0154/SL1344_0749/SL1344_0873/SL1344_0914/SL1344_1072/SL1344_1441/SL1344_1657/SL1344_1658/SL1344_1755/SL1344_2517/SL1344_2616/SL1344_3029/SL1344_3031/SL1344_3038/SL1344_3506/SL1344_3670/SL1344_3674/SL1344_3675/SL1344_3865/SL1344_4050/SL1344_4156",23
"sey00061","sey00061","Fatty acid biosynthesis","11/547","13/1771",9.22901464146776e-05,0.000547148725172732,0.000388590090167064,"SL1344_0228/SL1344_0233/SL1344_1007/SL1344_1130/SL1344_1131/SL1344_1132/SL1344_1134/SL1344_1631/SL1344_2335/SL1344_2347/SL1344_3353",11
"sey00190","sey00190","Oxidative phosphorylation","26/547","45/1771",0.000139763035932408,0.00077335546549266,0.0005492442113835,"SL1344_0355/SL1344_0436/SL1344_0437/SL1344_0714/SL1344_0716/SL1344_0717/SL1344_0722/SL1344_0723/SL1344_1148/SL1344_2285/SL1344_2287/SL1344_2290/SL1344_2292/SL1344_2293/SL1344_2295/SL1344_2296/SL1344_2297/SL1344_3832/SL1344_3833/SL1344_3834/SL1344_3836/SL1344_3837/SL1344_4278/SL1344_4279/SL1344_4280/SL1344_4347",26
"sey00640","sey00640","Propanoate metabolism","21/547","35/1771",0.000304990246523472,0.00158213690384051,0.00112364827666542,"SL1344_0154/SL1344_0159/SL1344_0233/SL1344_0363/SL1344_0364/SL1344_0365/SL1344_0366/SL1344_0720/SL1344_0721/SL1344_0910/SL1344_2306/SL1344_2307/SL1344_2335/SL1344_2357/SL1344_2776/SL1344_3138/SL1344_3349/SL1344_3353/SL1344_3936/SL1344_4058/SL1344_4211",21
"sey03018","sey03018","RNA degradation","12/547","16/1771",0.000338980695141134,0.00165502339392436,0.00117541293671229,"SL1344_0012/SL1344_0185/SL1344_1122/SL1344_2931/SL1344_3253/SL1344_3255/SL1344_3874/SL1344_3876/SL1344_4011/SL1344_4267/SL1344_4295/SL1344_4301",12
"sey01120","sey01120","Microbial metabolism in diverse environments","109/547","278/1771",0.000809948400370402,0.00373476206837463,0.00265246259770424,"SL1344_0002/SL1344_0004/SL1344_0007/SL1344_0152/SL1344_0153/SL1344_0154/SL1344_0159/SL1344_0203/SL1344_0214/SL1344_0233/SL1344_0367/SL1344_0535/SL1344_0680/SL1344_0712/SL1344_0714/SL1344_0716/SL1344_0717/SL1344_0718/SL1344_0719/SL1344_0720/SL1344_0721/SL1344_0749/SL1344_0750/SL1344_0873/SL1344_0910/SL1344_0914/SL1344_1056/SL1344_1072/SL1344_1176/SL1344_1224/SL1344_1225/SL1344_1261/SL1344_1283/SL1344_1312/SL1344_1380/SL1344_1398/SL1344_1400/SL1344_1497/SL1344_1508/SL1344_1509/SL1344_1528/SL1344_1557/SL1344_1577/SL1344_1644/SL1344_1680/SL1344_1708/SL1344_1723/SL1344_1818/SL1344_1820/SL1344_1822/SL1344_2058/SL1344_2118/SL1344_2171/SL1344_2181/SL1344_2306/SL1344_2307/SL1344_2335/SL1344_2357/SL1344_2371/SL1344_2381/SL1344_2393/SL1344_2435/SL1344_2436/SL1344_2437/SL1344_2452/SL1344_2495/SL1344_2517/SL1344_2775/SL1344_2776/SL1344_2927/SL1344_2931/SL1344_3038/SL1344_3039/SL1344_3044/SL1344_3045/SL1344_3052/SL1344_3121/SL1344_3302/SL1344_3331/SL1344_3353/SL1344_3431/SL1344_3450/SL1344_3467/SL1344_3506/SL1344_3645/SL1344_3665/SL1344_3670/SL1344_3891/SL1344_3935/SL1344_3936/SL1344_3954/SL1344_3984/SL1344_4011/SL1344_4030/SL1344_4034/SL1344_4050/SL1344_4069/SL1344_4118/SL1344_4119/SL1344_4156/SL1344_4157/SL1344_4211/SL1344_4278/SL1344_4279/SL1344_4280/SL1344_4337/SL1344_4348/SL1344_4416/SL1344_4450",109
"sey00270","sey00270","Cysteine and methionine metabolism","20/547","37/1771",0.00257529048924449,0.0112499531898575,0.00798982090845937,"SL1344_0002/SL1344_0208/SL1344_0914/SL1344_0935/SL1344_1755/SL1344_1776/SL1344_2393/SL1344_2495/SL1344_2803/SL1344_3038/SL1344_3065/SL1344_3070/SL1344_3331/SL1344_3506/SL1344_3665/SL1344_3863/SL1344_4049/SL1344_4050/SL1344_4156/SL1344_4184",20
"sey00630","sey00630","Glyoxylate and dicarboxylate metabolism","18/547","33/1771",0.00369477116540855,0.0153333003364455,0.010889851855941,"SL1344_0154/SL1344_0159/SL1344_0712/SL1344_1072/SL1344_1253/SL1344_1644/SL1344_1687/SL1344_1818/SL1344_2517/SL1344_3029/SL1344_3031/SL1344_3221/SL1344_3331/SL1344_3954/SL1344_3984/SL1344_4118/SL1344_4119/SL1344_4211",18
"sey00541","sey00541","O-Antigen nucleotide sugar biosynthesis","15/547","26/1771",0.00390819683074618,0.0154466827119968,0.0109703770687612,"SL1344_0753/SL1344_1397/SL1344_1683/SL1344_2057/SL1344_2060/SL1344_2061/SL1344_2066/SL1344_2067/SL1344_2068/SL1344_2069/SL1344_2070/SL1344_2072/SL1344_2075/SL1344_3829/SL1344_3884",15
"sey00480","sey00480","Glutathione metabolism","14/547","24/1771",0.00461939256892808,0.0174277083282287,0.0123773198019126,"SL1344_0312/SL1344_0693/SL1344_0838/SL1344_0997/SL1344_1176/SL1344_1383/SL1344_1820/SL1344_2058/SL1344_2498/SL1344_2803/SL1344_3070/SL1344_3517/SL1344_3562/SL1344_4407",14
"sey03060","sey03060","Protein export","11/547","18/1771",0.00746878534153165,0.0269525731890055,0.0191419670080445,"SL1344_0136/SL1344_0401/SL1344_0402/SL1344_0403/SL1344_2650/SL1344_3264/SL1344_3387/SL1344_3667/SL1344_3809/SL1344_3927/SL1344_3928",11
"sey00030","sey00030","Pentose phosphate pathway","20/547","41/1771",0.0115401296900359,0.0399096151780408,0.0283441781860531,"SL1344_0007/SL1344_0170/SL1344_0680/SL1344_1261/SL1344_1708/SL1344_1818/SL1344_1820/SL1344_2058/SL1344_2118/SL1344_2436/SL1344_2437/SL1344_3039/SL1344_3044/SL1344_3052/SL1344_3450/SL1344_4011/SL1344_4034/SL1344_4157/SL1344_4348/SL1344_4496",20
